regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason
full,-1,lag_m1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373227,-11610.086977319585,-48.57225694635781,23772.627979696423,24519.24931545162,-746.6213357551969,23267.029440746453,23508.17395463917,-241.14451389271562,10,0,0.0,ok
full,-1,lag_m1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5740.343596122611,-5738.794159820994,1.5494363016177886,11498.72990558984,11639.972739743544,-141.24283415370337,11484.687192245223,11513.588319641987,-28.901127396764423,10,0,0.0,ok
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373227,-11682.776082267035,-121.2613618938085,23772.627979696423,24664.749242434005,-892.1212627375826,23267.029440746453,23653.55216453407,-386.522723787617,10,0,0.0,ok
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5744.958485936534,-5745.239266057896,-0.2807801213621133,11507.96137573279,11652.878166853285,-144.91679112049496,11493.916971873068,11526.478532115792,-32.56156024272423,10,1,0.1,ok
full,1,lag_p1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373227,-11623.589920364138,-62.07519999091164,23772.627979696423,24546.37691862821,-773.7489389317889,23267.029440746453,23535.179840728277,-268.1503999818233,10,0,0.0,ok
full,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-5740.077308873157,-5744.596103575982,-4.518794702825289,11498.19733109093,11651.57662725352,-153.37929616258953,11484.154617746313,11525.192207151964,-41.03758940565058,10,1,0.1,ok
full,3,lag_p3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373227,-11654.942763873032,-93.42804349980543,23772.627979696423,24608.943492001563,-836.3155123051401,23267.029440746453,23597.885527746064,-330.85608699961085,10,0,0.0,ok
full,3,lag_p3,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5735.648539646951,-5737.174063813686,-1.5255241667355222,11489.338342487397,11636.71949636884,-147.38115388144251,11475.297079293901,11510.348127627372,-35.051048333471044,10,0,0.0,ok
full,5,lag_p5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373227,-11629.936167927423,-68.42144755419577,23772.627979696423,24558.84328578659,-786.2153060901655,23267.029440746453,23547.872335854845,-280.84289510839153,10,0,0.0,ok
full,5,lag_p5,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5732.411795463287,-5737.7718417825145,-5.360046319227877,11482.863886768177,11637.906346139458,-155.04245937128144,11468.823590926573,11511.543683565029,-42.72009263845575,10,1,0.1,ok
no_wake,-5,lag_m5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3414.2063208879913,-99.85381935055739,7197.630824408318,7965.462649416613,-767.8318250082948,6772.705003074868,7116.412641775983,-343.7076387011148,10,1,0.1,ok
no_wake,-5,lag_m5,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1859.8398528280068,-1863.778038114453,-3.9381852864462417,3735.4705776698993,3869.6739243538796,-134.20334668398027,3723.6797056560135,3763.556076228906,-39.87637057289248,10,2,0.2,ok
no_wake,-3,lag_m3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.0,-0.8,-3314.352501537434,-3419.459745419169,-105.10724388173503,7197.630824408318,7976.2906882032075,-778.6598637948891,6772.705003074868,7126.919490838338,-354.21448776347006,10,0,0.0,ok
