control_type,replicate,regime,lag_epochs,lag_label,valid,n_rows,n_subjects,max_baseline_eps_test,max_augmented_eps_test,max_conditional_lift,max_fraction_positive_lift,max_bic_improvement,max_ll_improvement,n_positive_lift_rows,n_strong_candidate_rows,n_multichannel_pair_rows,n_multichannel_positive_lift_rows,n_multichannel_strong_candidate_rows,eps_saturation_value,n_eps_saturated_rows,eps_saturation_fraction,collapsed_by_lift,collapsed_by_bic,collapsed_by_subject_fraction,collapsed_by_strong_candidates,collapsed_overall,reason
circular_rng_shift,6,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.3,-128.0431998246322,-3.938155461291899,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
circular_rng_shift,7,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.4,-127.67586448913426,-3.7544877935431487,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
circular_rng_shift,8,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.3,-122.88612096279621,-1.3596160303741271,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
circular_rng_shift,9,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.2,-122.98679794439249,-1.4099545211720397,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
circular_rng_shift,10,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.4,-126.50235357705833,-3.1677323375051856,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
circular_rng_shift,11,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.2,-121.45107291530303,-0.6420920066275357,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
conditional_target_shuffle,0,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.2,-144.64054921824754,-0.1494212306542977,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,1,full,0,lag_0,True,27597,10,0.8,0.0,0.0,0.1,-148.25862729164328,-1.9584602673521658,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,2,full,0,lag_0,True,27597,10,0.8,0.0,0.0,0.1,-147.94972300801055,-1.8040081255358018,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,3,full,0,lag_0,True,27597,10,0.8,0.8,0.8,0.1,-152.11127259741625,-3.8847829202386492,1,0,2,0,0,0.8,2,0.5,False,True,True,True,False,control_effect_survived
conditional_target_shuffle,4,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.2,-150.86543023783088,-3.2618617404459656,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,5,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.0,-149.5513408901934,-2.60481706662722,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,6,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.1,-144.30325246672874,0.019227145105105592,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,7,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.1,-147.1759606041942,-1.4171269236276203,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,8,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.1,-148.40325836448028,-2.0307758037706662,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,9,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.0,-142.7954361165921,0.7731353201734237,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
conditional_target_shuffle,10,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.2,-154.23795099641939,-4.948122119740219,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,11,full,0,lag_0,True,27597,10,0.8,0.0,0.0,0.1,-153.38269997885618,-4.520496610958617,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,0,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.2,-130.0160496710323,-1.79848583961666,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,1,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.3,-137.62614593267517,-5.616877190080004,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,2,no_wake,0,lag_0,True,8985,10,0.8,0.0,0.0,0.3,-133.82636779155473,-3.716988119519783,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,3,no_wake,0,lag_0,True,8985,10,0.0,0.0,0.0,0.3,-135.3045066026002,-4.442714305400614,0,0,2,0,0,0.8,0,0.0,True,True,True,True,True,ok
conditional_target_shuffle,4,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.2,-127.48604715469037,-0.546827801087602,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
conditional_target_shuffle,5,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.2,-139.03552630289278,-6.308224155546895,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,6,no_wake,0,lag_0,True,8985,10,0.8,0.0,-0.8,0.4,-132.43544607368858,-3.0215272605867085,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
conditional_target_shuffle,7,no_wake,0,lag_0,True,8985,10,0.8,0.0,0.0,0.2,-133.06172343478966,-3.321322721495335,0,0,2,0,0,0.8,1,0.25,True,True,True,True,True,ok
conditional_target_shuffle,8,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.2,-133.2694670298033,-3.4385377386440723,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
conditional_target_shuffle,9,no_wake,0,lag_0,True,8985,10,0.8,0.0,0.0,0.2,-137.8019150848345,-5.704761766159663,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
conditional_target_shuffle,10,no_wake,0,lag_0,True,8985,10,0.8,0.0,0.0,0.6,-135.27174124189287,-4.439674844688852,0,0,2,0,0,0.8,1,0.25,True,True,False,True,False,control_effect_survived
conditional_target_shuffle,11,no_wake,0,lag_0,True,8985,10,0.8,0.0,-0.8,0.3,-125.573584959438,0.409403296538585,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
conditional_target_shuffle,0,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.2,-133.441730984252,-6.636325750740525,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
conditional_target_shuffle,1,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.3,-130.15443826998217,-5.006921769916971,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
conditional_target_shuffle,2,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.8,0.2,-134.44842023619822,-7.153912753024997,1,0,2,1,0,0.8,3,0.75,False,True,True,True,False,control_effect_survived
conditional_target_shuffle,3,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.8,0.4,-123.0259368307643,-1.4278805786143494,1,0,2,1,0,0.8,2,0.5,False,True,True,True,False,control_effect_survived
conditional_target_shuffle,4,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.3,-135.10444633446195,-7.481925802156866,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,5,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.8,0.3,-120.70139615239486,-0.28040071112332043,2,0,2,1,0,0.8,4,1.0,False,True,True,True,False,control_effect_survived
conditional_target_shuffle,6,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.5,-125.9048379009082,-2.8821215853799913,0,0,2,0,0,0.8,3,0.75,True,True,True,True,True,ok
conditional_target_shuffle,7,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.8,0.5,-124.12930018341376,-1.9795622549390828,2,0,2,1,0,0.8,3,0.75,False,True,True,True,False,control_effect_survived
conditional_target_shuffle,8,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.8,0.3,-118.76224055204511,0.6891770890515545,1,0,2,0,0,0.8,3,0.75,False,True,True,True,False,control_effect_survived
conditional_target_shuffle,9,stable_sleep,0,lag_0,True,6078,10,0.8,0.0,-0.8,0.3,-124.00840132210578,-1.9191128242850937,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
conditional_target_shuffle,10,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.3,-125.70160978263038,-2.780507526241081,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
conditional_target_shuffle,11,stable_sleep,0,lag_0,True,6078,10,0.8,0.8,0.0,0.3,-116.48549007792371,1.8275523261122544,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,0,full,0,lag_0,True,27597,10,0.0,0.0,0.0,0.2,-138.3765525263716,2.9893391756995698,0,0,2,0,0,0.8,0,0.0,True,True,True,True,True,ok
stage_preserving_rng_shuffle,1,full,0,lag_0,True,27597,10,0.0,0.8,0.8,0.3,-137.3078322210531,3.5236993283588163,1,0,2,0,0,0.8,1,0.25,False,True,True,True,False,control_effect_survived
stage_preserving_rng_shuffle,2,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.2,-145.42316367182502,-0.5339663970271431,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,3,full,0,lag_0,True,27597,10,0.0,0.0,0.0,0.1,-144.05382845269742,0.15070121253666002,0,0,2,0,0,0.8,0,0.0,True,True,True,True,True,ok
stage_preserving_rng_shuffle,4,full,0,lag_0,True,27597,10,0.8,0.0,0.0,0.1,-141.09877686943764,1.628227004166547,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,5,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.1,-137.87860759267278,3.238311642548979,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,6,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.2,-140.24182936049328,2.0567007586387263,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,7,full,0,lag_0,True,27597,10,0.0,0.0,0.0,0.1,-143.78233127469503,0.2864498015378558,0,0,2,0,0,0.8,0,0.0,True,True,True,True,True,ok
stage_preserving_rng_shuffle,8,full,0,lag_0,True,27597,10,0.8,0.0,0.0,0.3,-144.26256136676238,0.04633475550417643,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,9,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.2,-143.1837888676073,0.585721005081723,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,10,full,0,lag_0,True,27597,10,0.8,0.8,0.0,0.2,-138.37844941054755,2.9883907336115954,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,11,full,0,lag_0,True,27597,10,0.8,0.0,0.0,0.1,-145.46318086158863,-0.5539749919089445,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,0,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.3,-133.5563891235047,-3.5701381458129617,0,0,2,0,0,0.8,4,1.0,True,True,True,True,True,ok
stage_preserving_rng_shuffle,1,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.2,-134.37835170964445,-3.9811194388828426,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
stage_preserving_rng_shuffle,2,no_wake,0,lag_0,True,8985,10,0.8,0.8,0.0,0.1,-137.5900085690887,-5.586947868604966,0,0,2,0,0,0.8,2,0.5,True,True,True,True,True,ok
