regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason
no_wake,3,lag_p3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3333.953547223814,-19.601045686380075,7197.630824408318,7805.278291812498,-607.6474674041792,6772.705003074868,6955.907094447628,-183.20209137276012,10,0,0.0,ok
no_wake,5,lag_p5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-3437.8086938990505,-3565.69258926321,-127.88389536415934,7444.142391618417,8268.435186167051,-824.2927945486344,7019.617387798101,7419.38517852642,-399.7677907283187,10,0,0.0,ok
no_wake,5,lag_p5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3350.594115622811,-36.24161408537702,7197.630824408318,7838.2382388862525,-640.6074144779341,6772.705003074868,6989.188231245622,-216.48322817075405,10,0,0.0,ok
rem_only,-5,lag_m5,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-387.4531803880686,-406.37425277442674,-18.92107238635816,787.5658025871826,907.694319131694,-120.12851654451129,778.9063607761371,842.7485055488535,-63.84214477271632,10,1,0.1,ok
rem_only,-3,lag_m3,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-389.74148056042463,-406.5362967710385,-16.794816210613874,792.1530696238453,895.4282988115518,-103.27522918770649,783.4829611208493,839.072593542077,-55.58963242122775,10,1,0.1,ok
rem_only,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-395.7316196051852,-413.05531667663,-17.32369707144477,804.1650106437999,908.6721476705516,-104.5071370267517,795.4632392103704,852.1106333532599,-56.64739414288954,10,0,0.0,ok
rem_only,1,lag_p1,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-395.7316196051852,-452.3158366238851,-56.58421701869992,804.1650106437999,993.5440732817766,-189.37906263797677,795.4632392103704,932.6316732477702,-137.16843403739983,10,2,0.2,ok
rem_only,5,lag_p5,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.8,0.0,-387.5256291292611,-445.322776720852,-57.797147591590885,787.7107000695677,972.9319252134992,-185.2212251439314,779.0512582585222,916.645553441704,-137.59429518318177,10,0,0.0,ok
stable_sleep,-5,lag_m5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-2770.3173912949915,-2862.766870315494,-92.44947902050262,6080.871635998588,6806.0074474482,-725.1358114496115,5684.634782589983,6013.533740630988,-328.89895804100524,10,1,0.1,ok
stable_sleep,-5,lag_m5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2643.170705573616,-47.16616408556547,5732.799481121115,6366.815117964443,-634.0156368433281,5336.0090829761,5574.341411147231,-238.3323281711309,10,0,0.0,ok
stable_sleep,-3,lag_m3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-2782.980257439178,-2905.332500003621,-122.35224256444326,6106.514200481389,6891.772371213308,-785.2581707319196,5709.960514878356,6098.665000007242,-388.7044851288865,10,0,0.0,ok
stable_sleep,-3,lag_m3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2656.33626465791,-60.33172316985974,5732.799481121115,6393.779900521886,-660.9804194007711,5336.0090829761,5600.67252931582,-264.6634463397195,10,0,0.0,ok
stable_sleep,-1,lag_m1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-2789.428257175022,-2871.824155756746,-82.3958985817244,6119.60751440926,6825.150311631925,-705.5427972226653,5722.856514350044,6031.648311513492,-308.7917971634488,10,2,0.2,ok
stable_sleep,-1,lag_m1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2694.576064149556,-98.5715226615057,5732.799481121115,6470.654128417545,-737.8546472964299,5336.0090829761,5677.152128299112,-341.1430453230114,10,0,0.0,ok
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2959.705352796389,-168.58470890500257,6123.031685927788,7000.991501882809,-877.9598159550205,5726.241287782774,6207.410705592779,-481.16941781000514,10,0,0.0,ok
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2749.415879775259,-153.41133828720876,5732.799481121115,6580.412555840548,-847.6130747194329,5336.0090829761,5786.831759550518,-450.8226765744175,10,1,0.1,ok
stable_sleep,1,lag_p1,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-2793.923418814963,-2910.654845570016,-116.73142675505233,6128.597837689143,6902.811691258464,-774.2138535693211,5731.846837629926,6109.309691140031,-377.4628535101047,10,0,0.0,ok
stable_sleep,1,lag_p1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2701.086631224756,-105.08208973670573,5732.799481121115,6483.675262567945,-750.8757814468299,5336.0090829761,5690.173262449512,-354.1641794734114,10,1,0.1,ok
stable_sleep,3,lag_p3,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-2814.013882348252,-2939.190550099554,-125.17666775130238,6168.581450299536,6959.488471405174,-790.9070211056378,5772.027764696503,6166.381100199108,-394.3533355026048,10,2,0.2,ok
stable_sleep,3,lag_p3,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2686.0394014782214,-90.0348599901713,5732.799481121115,6453.186174162509,-720.3866930413942,5336.0090829761,5660.078802956443,-324.0697199803426,10,1,0.1,ok
stable_sleep,5,lag_p5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-2806.851128718606,-2943.105453818189,-136.25432509958273,6153.9391108458185,6966.684614453589,-812.7455036077708,5757.702257437212,6174.210907636378,-416.5086501991655,10,0,0.0,ok
stable_sleep,5,lag_p5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2657.924251555584,-61.91971006753374,5732.799481121115,6396.322209928379,-663.5227288072647,5336.0090829761,5603.848503111168,-267.8394201350675,10,1,0.1,ok
transition_epochs,-5,lag_m5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-1724.8611919086518,-1759.4099849264808,-34.548793017828984,3967.288100845084,4552.42063778507,-585.1325369399856,3593.722383817304,3806.8199698529615,-213.097586035658,10,0,0.0,ok
transition_epochs,-1,lag_m1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-1724.8611919086518,-1804.2243596005949,-79.36316769194286,3967.288100845084,4643.253499052404,-675.9653982073196,3593.722383817304,3896.448719201189,-302.7263353838857,10,0,0.0,ok
transition_epochs,1,lag_p1,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-1724.8611919086518,-1735.6393232703213,-10.778131361669466,3967.288100845084,4506.083426391857,-538.7953255467728,3593.722383817304,3759.2786465406425,-165.55626272333893,10,0,0.0,ok
transition_epochs,5,lag_p5,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.8,0.8,0.0,-1744.3512734068513,-1948.0193388375449,-203.66806543069333,4005.5028807797567,4929.639345607197,-924.1364648274408,3632.702546813703,4184.038677675089,-551.3361308613867,10,1,0.1,ok
transition_epochs,5,lag_p5,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-1724.8611919086518,-1705.0134372225273,19.84775468612452,3967.288100845084,4443.627542377163,-476.33944153207904,3593.722383817304,3698.026874445055,-104.30449062775097,10,0,0.0,ok
