regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason,control_type,replicate,control_seed,control_collapsed_overall
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2726.937312767558,-130.93277127950796,5732.799481121115,6535.455421825146,-802.6559407040313,5336.0090829761,5741.874625535116,-405.8655425590159,10,1,0.1,ok,circular_rng_shift,2,426260,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1263.8911206836708,-1266.4734567715732,-2.5823360879023767,2542.8031024800976,2668.1346635579503,-125.33156107785273,2531.7822413673416,2568.9469135431464,-37.16467217580475,10,2,0.2,ok,circular_rng_shift,2,426260,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11650.012978671264,-88.4982582980374,23772.627979696423,24599.223035242463,-826.5950555460404,23267.029440746453,23588.02595734253,-320.9965165960748,10,0,0.0,ok,circular_rng_shift,3,427269,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-5744.4009215643255,-5749.250048757584,-4.849127193258028,11506.846246988373,11660.89973225266,-154.0534852642868,11492.801843128653,11534.500097515169,-41.698254386516055,10,0,0.0,ok,circular_rng_shift,3,427269,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3394.479934104635,-80.12743256720114,7197.630824408318,7926.81151087617,-729.180686467852,6772.705003074868,7076.95986820927,-304.2548651344023,10,0,0.0,ok,circular_rng_shift,3,427269,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1870.4023660303048,-1873.2574580058329,-2.855091975528012,3756.6067461645935,3888.733042947529,-132.1262967829348,3744.8047320606097,3782.5149160116657,-37.71018395105602,10,4,0.4,ok,circular_rng_shift,3,427269,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2704.5017909983007,-108.49724951025064,5732.799481121115,6490.584378286631,-757.7848971655167,5336.0090829761,5697.0035819966015,-360.9944990205013,10,0,0.0,ok,circular_rng_shift,3,427269,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1265.5791445651546,-1272.713232761576,-7.134088196421544,2546.179150243065,2680.6142155379566,-134.4350652948915,2535.158289130309,2581.4264655231523,-46.26817639284309,10,5,0.5,ok,circular_rng_shift,3,427269,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11650.300382478454,-88.78566210522695,23772.627979696423,24599.79784285684,-827.1698631604195,23267.029440746453,23588.600764956907,-321.5713242104539,10,0,0.0,ok,circular_rng_shift,4,428278,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-5745.229643690643,-5750.467713873844,-5.238070183201671,11508.503691241009,11663.33506248518,-154.83137124417408,11494.459287381284,11536.935427747689,-42.47614036640334,10,1,0.1,ok,circular_rng_shift,4,428278,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3398.7028101464025,-84.35030860896859,7197.630824408318,7935.257262959705,-737.6264385513869,6772.705003074868,7085.405620292805,-312.7006172179372,10,1,0.1,ok,circular_rng_shift,4,428278,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1869.988753005236,-1877.0147221940665,-7.025969188830459,3755.779520114457,3896.247571323997,-140.46805120953968,3743.977506010472,3790.029444388133,-46.05193837766092,10,1,0.1,ok,circular_rng_shift,4,428278,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2658.932170362695,-62.92762887464505,5732.799481121115,6399.44513701542,-666.6456558943055,5336.0090829761,5605.86434072539,-269.8552577492901,10,1,0.1,ok,circular_rng_shift,4,428278,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1267.316638930768,-1270.739764371696,-3.4231254409278336,2549.654138974292,2676.667278758196,-127.01313978390364,2538.633277861536,2577.479528743392,-38.84625088185567,10,2,0.2,ok,circular_rng_shift,4,428278,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11630.823251107347,-69.30853073412072,23772.627979696423,24560.84358011463,-788.215600418207,23267.029440746453,23549.64650221469,-282.61706146824145,10,0,0.0,ok,circular_rng_shift,5,429287,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.8,0.0,-5744.811680198237,-5749.577747535269,-4.766067337031927,11507.667764256195,11661.55512980803,-153.8873655518346,11493.623360396474,11535.155495070538,-41.532134674063855,10,1,0.1,ok,circular_rng_shift,5,429287,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3400.66319742381,-86.31069588637592,7197.630824408318,7939.178037514521,-741.5472131062024,6772.705003074868,7089.32639484762,-316.62139177275185,10,0,0.0,ok,circular_rng_shift,5,429287,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1870.451451825576,-1874.0840552569855,-3.632603431409734,3756.7049177551366,3890.386237449835,-133.68131969469823,3744.902903651152,3784.168110513971,-39.26520686281947,10,2,0.2,ok,circular_rng_shift,5,429287,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2672.059079754674,-76.0545382666237,5732.799481121115,6425.6989557993775,-692.8994746782628,5336.0090829761,5632.118159509348,-296.1090765332474,10,0,0.0,ok,circular_rng_shift,5,429287,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1266.900980940531,-1267.2731987990337,-0.3722178585023812,2548.8228229938186,2669.7341476128718,-120.91132461905272,2537.8019618810627,2570.5463975980674,-32.74443571700476,10,4,0.4,ok,circular_rng_shift,5,429287,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11624.369288550804,-62.85456817757586,23772.627979696423,24547.93565500154,-775.3076753051173,23267.029440746453,23536.738577101605,-269.7091363551517,10,0,0.0,ok,circular_rng_shift,6,430296,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-5744.616300587632,-5749.521392523567,-4.905091935935161,11507.277005034985,11661.442419784626,-154.16541474964106,11493.232601175265,11535.042785047131,-41.81018387187032,10,1,0.1,ok,circular_rng_shift,6,430296,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3399.335689696202,-84.98318815876792,7197.630824408318,7936.523022059304,-738.8921976509855,6772.705003074868,7086.671379392404,-313.96637631753583,10,0,0.0,ok,circular_rng_shift,6,430296,True
