subject_id,model,label,diagnostic_mode,valid,train_rows,test_rows,n_states,n_components,eps_train,eps_test,ll_train,ll_test,bic_train,bic_test,aic_train,aic_test,transitions_per_state,transitions_per_observed_state,eps_eeg_baseline,eps_rng_baseline,baseline_max,lift_over_eeg,lift_over_rng,lift_over_baseline
SC4001,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,loso,True,24947,2650,9,2,0.0,0.0,-32029.14456396964,-3867.985630714646,64797.35193365891,8311.352698146153,64204.28912793928,7881.971261429292,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,loso,True,24947,2650,6,2,0.0,0.0,-32731.56838794117,-3521.874827384145,65776.9853646126,7288.089716935725,65525.13677588234,7105.74965476829,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M0_observed_compact,Observed compact baseline: delta_power x rng_bit,loso,True,24947,2650,8,2,0.0,0.0,-42851.1698461753,-4787.153226291749,86279.41612969332,10023.576889472006,85816.3396923506,9688.306452583498,3449.5,3449.5,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,loso,True,24947,2650,18,3,0.0,0.0,-49220.77568409684,-5721.137171260961,101549.66481142554,13862.029151728446,99055.55136819369,12056.274342521921,1533.111111111111,1533.111111111111,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,loso,True,24947,2650,9,2,0.0,0.0,-41418.92626413469,-4698.632676264188,83576.915333989,9972.646789245238,82983.85252826937,9543.265352528377,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,loso,True,24947,2650,9,2,0.01,0.0,-30053.60245682905,-3311.508247040801,60846.26771937773,7198.397930798463,60253.2049136581,6769.016494081602,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M4_latent_joint,Latent joint model: latent_state x rng_bit,loso,True,24947,2650,6,2,0.0,0.0,-31727.708732856638,-3379.042055154029,63769.26605444353,7002.424172475493,63517.417465713275,6820.084110308058,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
SC4001,M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,loso,True,24947,2650,27,3,0.0,0.0,-47316.498479376074,-5172.539768558423,101750.27301931239,15886.081592075112,96038.99695875215,11751.079537116846,1022.074074074074,1314.095238095238,0.0,0.0,0.0,0.0,0.0,0.0
SC4002,B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,loso,True,24768,2829,9,2,0.0,0.0,-32393.60791406264,-3586.731762124712,65525.75276481832,7753.6182512216255,64933.21582812528,7319.463524249424,3066.222222222222,3066.222222222222,0.0,0.0,0.0,0.0,0.0,0.0
SC4002,B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,loso,True,24768,2829,6,2,0.0,0.0,-32529.35829250874,-3723.6382218901445,65372.34185950356,7693.643519617799,65120.71658501748,7509.276443780289,4599.333333333333,4599.333333333333,0.0,0.0,0.0,0.0,0.0,0.0
