model,label,n_states,n_components,n_train,n_test,eps_train,eps_test,ll_train,ll_test,n_params,bic_train,bic_test,aic_train,aic_test,transitions_per_state,transitions_per_observed_state,score_group,score_key,rank_bic_test,rank_ll_test,rank_eps_test
B0_eeg_only,EEG-only baseline: delta_power x eeg_info_bin,9,2,24800,2787,0.0,0.1,-32842.319904467615,-3203.9881730958105,73,66423.29753098241,6987.064981197803,65830.63980893523,6553.976346191621,3066.222222222222,3066.222222222222,baseline,eeg_only,1.0,1.0,1.0
M3_informational_joint,Informational joint model: eeg_info_bin x rng_info_bin,9,2,24800,2787,0.01,0.0,-30171.11521445869,-3355.141099518904,73,61080.88815096455,7289.37083404399,60488.23042891738,6856.282199037808,3066.222222222222,3066.222222222222,registered_model,,2.0,2.0,3.0
B1_rng_only,RNG-only baseline: rng_bit x rng_info_bin,6,2,24800,2787,0.0,0.0,-32617.195284680696,-3635.7465105107935,31,65548.06713625813,7517.4073728735275,65296.39056936139,7333.493021021587,4599.333333333333,4599.333333333333,baseline,rng_only,3.0,3.0,3.0
M4_latent_joint,Latent joint model: latent_state x rng_bit,6,2,24800,2787,0.0,0.0,-33331.66065579856,-3755.466607216679,31,66976.99787849386,7756.847566285299,66725.32131159712,7572.933214433358,4599.333333333333,4599.333333333333,registered_model,,4.0,4.0,3.0
M2_rng_quantum_proxy,RNG quantum-aware proxy model: delta_power x q_rng_bin,9,2,24800,2787,0.0,0.0,-41969.22344517858,-4264.447541924433,73,84677.10461240434,9107.983718855048,84084.44689035715,8674.895083848865,3066.222222222222,3066.222222222222,registered_model,,5.0,5.0,3.0
M0_observed_compact,Observed compact baseline: delta_power x rng_bit,8,2,24800,2787,0.0,0.0,-43265.076894407495,-4363.144883964132,57,87106.91392794771,9178.454866494734,86644.15378881499,8840.289767928263,3449.5,3449.5,registered_model,,6.0,6.0,3.0
M1_eeg_informational,EEG informational model: delta_power x eeg_info_bin x rng_bit,18,3,24800,2787,0.0,0.07,-49939.74838540461,-5142.462996358707,307,102985.9066429802,12720.271348154372,100493.49677080922,10898.925992717413,1533.111111111111,1533.111111111111,registered_model,,7.0,7.0,2.0
M5_augmented_final,Augmented final model: latent_state x rng_info_bin x q_rng_bin,27,3,24800,2787,0.0,0.0,-48985.47321604276,-5481.927974215456,703,105084.32148138912,16540.55883075072,99376.94643208552,12369.855948430912,1022.074074074074,1314.095238095238,registered_model,,8.0,8.0,3.0
